contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,delta,gamma,theta,vega
AAPL260805C00337500,337.5,2.48,0.0,0.0,0.062509375,2026-08-05,call,2.48,321.6600036621094,0.2458092609472378,0.15314,0.016489,-0.147144,0.137871
AAPL260805C00340000,340.0,1.85,0.0,0.0,0.062509375,2026-08-05,call,1.85,321.6600036621094,0.2458092609472378,0.11729,0.01373,-0.122133,0.114802
AAPL260805C00342500,342.5,2.86,0.0,0.0,0.062509375,2026-08-05,call,2.86,321.6600036621094,0.2458092609472378,0.088025,0.011142,-0.098835,0.09316
AAPL260805C00345000,345.0,2.02,0.0,0.0,0.062509375,2026-08-05,call,2.02,321.6600036621094,0.2458092609472378,0.064735,0.008816,-0.078019,0.073717
AAPL260805C00347500,347.5,1.0,0.0,0.0,0.062509375,2026-08-05,call,1.0,321.6600036621094,0.2458092609472378,0.046655,0.006806,-0.060105,0.056911
AAPL260805C00350000,350.0,0.77,0.0,0.0,0.12500875,2026-08-05,call,0.77,321.6600036621094,0.2458092609472378,0.032956,0.005129,-0.045213,0.04289
AAPL260805C00352500,352.5,1.55,0.0,0.0,0.12500875,2026-08-05,call,1.55,321.6600036621094,0.2458092609472378,0.022819,0.003776,-0.033224,0.03157
AAPL260805C00355000,355.0,0.48,0.0,0.0,0.12500875,2026-08-05,call,0.48,321.6600036621094,0.2458092609472378,0.015492,0.002716,-0.023862,0.022708
AAPL260805C00357500,357.5,0.56,0.0,0.0,0.12500875,2026-08-05,call,0.56,321.6600036621094,0.2458092609472378,0.010314,0.00191,-0.016759,0.015969
AAPL260805C00360000,360.0,0.49,0.0,0.0,0.12500875,2026-08-05,call,0.49,321.6600036621094,0.2458092609472378,0.006735,0.001314,-0.011514,0.010985
AAPL260805C00365000,365.0,0.35,0.0,0.0,0.12500875,2026-08-05,call,0.35,321.6600036621094,0.2458092609472378,0.002713,0.000583,-0.005098,0.004874
AAPL260805C00370000,370.0,0.37,0.0,0.0,0.12500875,2026-08-05,call,0.37,321.6600036621094,0.2458092609472378,0.001015,0.000238,-0.002079,0.001991
AAPL260805C00375000,375.0,0.04,0.0,0.0,0.12500875,2026-08-05,call,0.04,321.6600036621094,0.2458092609472378,0.000353,9e-05,-0.000783,0.000751
AAPL260805C00380000,380.0,0.11,,0.0,0.2500075,2026-08-05,call,0.11,321.6600036621094,0.2458092609472378,0.000115,3.1e-05,-0.000274,0.000263
AAPL260805C00400000,400.0,0.05,,0.0,0.2500075,2026-08-05,call,0.05,321.6600036621094,0.2458092609472378,1e-06,0.0,-2e-06,2e-06
AAPL260731P00110000,110.0,0.15,0.0,0.0,0.500005,2026-07-31,put,0.15,321.6600036621094,0.2458092609472378,0.0,0.0,0.01355,0.0
AAPL260731P00120000,120.0,0.23,,0.0,0.500005,2026-07-31,put,0.23,321.6600036621094,0.2458092609472378,0.0,0.0,0.014782,0.0
AAPL260731P00130000,130.0,0.01,0.0,0.0,0.500005,2026-07-31,put,0.01,321.6600036621094,0.2458092609472378,0.0,0.0,0.016014,0.0
AAPL260731P00135000,135.0,0.19,0.0,0.0,0.500005,2026-07-31,put,0.19,321.6600036621094,0.2458092609472378,0.0,0.0,0.016629,0.0
AAPL260731P00140000,140.0,0.19,0.0,0.0,0.500005,2026-07-31,put,0.19,321.6600036621094,0.2458092609472378,0.0,0.0,0.017245,0.0
AAPL260731P00145000,145.0,0.11,0.0,0.0,0.500005,2026-07-31,put,0.11,321.6600036621094,0.2458092609472378,0.0,0.0,0.017861,0.0
AAPL260731P00150000,150.0,0.03,0.0,0.0,0.500005,2026-07-31,put,0.03,321.6600036621094,0.2458092609472378,0.0,0.0,0.018477,0.0
AAPL260731P00155000,155.0,0.18,0.0,0.0,0.500005,2026-07-31,put,0.18,321.6600036621094,0.2458092609472378,0.0,0.0,0.019093,0.0
AAPL260731P00160000,160.0,0.07,0.0,0.0,0.500005,2026-07-31,put,0.07,321.6600036621094,0.2458092609472378,0.0,0.0,0.019709,0.0
