contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker,bs_price,mispricing,mispricing_pct
AAPL260805C00330000,330.0,9.64,9.05,11.25,0.4210262976074219,2026-08-05,call,10.15,333.0199890136719,0.2480367173288849,AAPL,7.310536560278308,-2.8394634397216922,-27.975009258341792
AAPL260805C00332500,332.5,7.9,7.1,9.2,0.3878845391845703,2026-08-05,call,8.149999999999999,333.0199890136719,0.2480367173288849,AAPL,5.923894371595225,-2.226105628404774,-27.314179489629133
AAPL260805C00335000,335.0,7.15,6.0,8.4,0.4045469702148437,2026-08-05,call,7.2,333.0199890136719,0.2480367173288849,AAPL,4.718967040073807,-2.4810329599261935,-34.458791110086025
AAPL260805C00337500,337.5,5.94,4.65,7.25,0.4014342083740234,2026-08-05,call,5.95,333.0199890136719,0.2480367173288849,AAPL,3.692993604524176,-2.257006395475824,-37.93288059623234
AAPL260805C00340000,340.0,5.05,3.65,5.55,0.3687807263183594,2026-08-05,call,4.6,333.0199890136719,0.2480367173288849,AAPL,2.8375971973107994,-1.7624028026892002,-38.31310440628696
AAPL260805C00342500,342.5,4.1,3.35,5.45,0.4037535211181641,2026-08-05,call,4.4,333.0199890136719,0.2480367173288849,AAPL,2.139685720487634,-2.2603142795123663,-51.3707790798265
AAPL260805C00345000,345.0,3.34,3.05,4.3,0.3858703991699218,2026-08-05,call,3.675,333.0199890136719,0.2480367173288849,AAPL,1.5827027187972078,-2.092297281202792,-56.933259352456936
AAPL260805C00347500,347.5,2.76,1.43,4.1,0.4101621484375,2026-08-05,call,2.765,333.0199890136719,0.2480367173288849,AAPL,1.1480387645662518,-1.6169612354337484,-58.47961068476486
AAPL260805C00350000,350.0,2.25,0.89,2.56,0.3586489916992187,2026-08-05,call,1.725,333.0199890136719,0.2480367173288849,AAPL,0.8164161847703326,-0.9085838152296675,-52.67152552056042
AAPL260805C00352500,352.5,1.4,0.6,2.04,0.355353126220703,2026-08-05,call,1.32,333.0199890136719,0.2480367173288849,AAPL,0.569094194824487,-0.7509058051755131,-56.88680342238735
AAPL260805C00355000,355.0,1.45,1.05,2.68,0.4232235412597656,2026-08-05,call,1.865,333.0199890136719,0.2480367173288849,AAPL,0.38879507399969526,-1.4762049260003047,-79.1530791421075
AAPL260805C00357500,357.5,1.14,0.1,2.16,0.416875948486328,2026-08-05,call,1.13,333.0199890136719,0.2480367173288849,AAPL,0.2603107618376903,-0.8696892381623096,-76.96364939489466
AAPL260805C00360000,360.0,0.94,0.64,1.15,0.364264169921875,2026-08-05,call,0.895,333.0199890136719,0.2480367173288849,AAPL,0.17080104089417425,-0.7241989591058258,-80.91608481629338
AAPL260805C00365000,365.0,0.5,0.31,0.63,0.3527896752929687,2026-08-05,call,0.47,333.0199890136719,0.2480367173288849,AAPL,0.06921976893589665,-0.4007802310641033,-85.27238958810709
